level,name,xp
1,Zwift Kit,0
2,Basic Kit 1,1000
3,Black Helmet,2000
4,Zwift Glasses Basic,3000
5,Black Shoes,4000
6,Gloves,5000
7,Solid Socks,7000
8,Vintage Kit pack,10000
9,Camo Jersey pack,13000
10,Oakleys,16000
11,Digital Camo Jersey pack,19000
12,Basic Kit 2,23000
13,Dot Socks,28000
14,Glove Pack Pattern,33000
15,Level 15 jersey,38000
16,Glasses Zwift #1,44000
17,Striped Socks,50000
18,Classy Kits,56000
19,Glasses Zwift #2,62000
20,Level 20 Jersey,70000
21,Neon Kits,78000
22,Pattern Socks,88000
23,Glove Pack Solid,94000
24,Skater/Bowl Helmet,100000
25,Level 25 Kit,110000
26,Zwift Oversize Glasses,121000
27,S-Works Shoes,130000
28,Dots Socks,140000
29,S-Works Helmet,150000
30,Level 30 Kit,170000
31,Retro 80s Sunglasses (Oakley Eyeshades),180000
32,Newsy (Paperboy) Cap,190000
33,Fluoro Gloves,200000
34,Monochrome Kit,220000
35,Mavic Shoes,230000
36,Calories To Burn (Food) Socks,250000
37,Bell Javelin Helmet,260000
38,Vintage Gloves,280000
39,Vintage Leather Shoes,290000
40,Level 40 Kit,310000
41,Zwift Rockstar Glasses,330000
42,La Z Claire Kit,340000
43,Retro 80s Helmet,360000
44,Alpine Slopes (Ski) Kits,380000
45,Giro Synthe Helmet,400000
46,Prism Kits,420000
47,Zwift Vintage Riding Goggles,440000
48,Bont Shoes,460000
49,Giro Vanquish Helmet,480000
50,-,500000
51,-,520000
52,-,540000
53,-,560000
54,-,580000
55,-,600000
56,-,630000
57,-,660000
58,-,690000
59,-,720000
60,-,750000
61,-,780000
62,-,810000
63,-,840000
64,-,870000
65,-,900000
66,-,930000
67,-,960000
68,-,990000
69,-,1020000
70,-,1050000
